SampleNumber,ExperimentI ID,SampleID,Cell Line,Treatment,Antibody,Replicate,R1,R2,group_norm,group_avg,params,
972,50,JR849,HLF,SNDX,IgG,2,/proj/jraablab/users/share/NGS/0028_Raab/JR849_S24_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0028_Raab/JR849_S24_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",972_JR849_HLF_IgG_SNDX_2
1059,56,JR934,HLF,DMSO,H3K4me3,1,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR934_S85_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR934_S85_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",1059_JR934_HLF_H3K4me3_DMSO_1
1060,56,JR935,HLF,SNDX,H3K4me3,1,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR935_S86_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR935_S86_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",1060_JR935_HLF_H3K4me3_SNDX_1
1061,56,JR936,HLF,DMSO,H3K4me3,2,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR936_S87_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR936_S87_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",1061_JR936_HLF_H3K4me3_DMSO_2
1063,56,JR938,HLF,DMSO,H3K4me3,4,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR938_S89_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR938_S89_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_DMSO_H3K4me3,"""--bins""",1063_JR938_HLF_H3K4me3_DMSO_4
1064,56,JR939,HLF,SNDX,H3K4me3,2,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR939_S90_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR939_S90_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",1064_JR939_HLF_H3K4me3_SNDX_2
1065,56,JR940,HLF,SNDX,H3K4me3,3,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR940_S91_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR940_S91_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",1065_JR940_HLF_H3K4me3_SNDX_3
1066,56,JR941,HLF,SNDX,H3K4me3,4,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR941_S92_merged_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/Raab_10196_240722A9/merged/JR941_S92_merged_R2_001.fastq.gz,HLF_H3K4me3,HLF_SNDX_H3K4me3,"""--bins""",1066_JR941_HLF_H3K4me3_SNDX_4
1103,58,JR942,HLF,DMSO,Menin,1,/proj/jraablab/users/share/NGS/0092_Raab/JR942_S1_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0092_Raab/JR942_S1_R2_001.fastq.gz,HLF_Menin,HLF_DMSO_Menin,"""--bins""",1103_JR942_HLF_Menin_DMSO_1
1105,58,JR944,HLF,DMSO,IgG,1,/proj/jraablab/users/share/NGS/0092_Raab/JR944_S3_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0092_Raab/JR944_S3_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",1105_JR944_HLF_IgG_DMSO_1
1106,58,JR945,HLF,Sndx,Menin,1,/proj/jraablab/users/share/NGS/0092_Raab/JR945_S4_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0092_Raab/JR945_S4_R2_001.fastq.gz,HLF_Menin,HLF_SNDX_Menin,"""--bins""",1106_JR945_HLF_Menin_Sndx_1
1108,58,JR947,HLF,Sndx,IgG,1,/proj/jraablab/users/share/NGS/0092_Raab/JR947_S6_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/0092_Raab/JR947_S6_R2_001.fastq.gz,HLF_IgG,HLF_SNDX_IgG,"""--bins""",1108_JR947_HLF_IgG_Sndx_1
1167,60,JR954,HLF,DMSO,H3K27ac,1,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-39_S39_L005_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-39_S39_L005_R2_001.fastq.gz,HLF_H3K27ac,HLF_DMSO_H3K27ac,"""--bins""",1167_JR954_HLF_H3K27ac_DMSO_1
1168,60,JR955,HLF,DMSO,NFYB,1,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-40_S40_L005_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-40_S40_L005_R2_001.fastq.gz,HLF_NFYB,HLF_DMSO_NFYB,"""--bins""",1168_JR955_HLF_NFYB_DMSO_1
1169,60,JR956,HLF,DMSO,TEAD4,1,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-41_S41_L005_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-41_S41_L005_R2_001.fastq.gz,HLF_TEAD4,HLF_DMSO_TEAD4,"""--bins""",1169_JR956_HLF_TEAD4_DMSO_1
1170,60,JR957,HLF,DMSO,IgG,1,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-42_S42_L005_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-42_S42_L005_R2_001.fastq.gz,HLF_IgG,HLF_DMSO_IgG,"""--bins""",1170_JR957_HLF_IgG_DMSO_1
1172,60,JR959,HLF,SNDX,NFYB,1,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-44_S44_L005_R1_001.fastq.gz,/proj/jraablab/users/share/NGS/24268-02-12112024/24268FL-02-01V1-44_S44_L005_R2_001.fastq.gz,HLF_NFYB,HLF_SNDX_NFYB,"""--bins""",1172_JR959_HLF_NFYB_SNDX_1
